train_loss,train_acc,valid_loss,valid_acc,lr
0.4212953910181204,0.8370625977246994,0.33887230662820667,0.8644485520640789,5e-05
0.3289862517327005,0.870568208951775,0.343957667430095,0.8627541589648798,5e-05
0.30788730034647466,0.8768456970322501,0.30099537185475334,0.8783733826247689,5e-05
0.2906773722318742,0.8830461607190997,0.2793193976414916,0.8899876771410967,5e-05
0.2750311145874915,0.8889693365888977,0.2981061164383821,0.8791435613062231,5e-05
0.22502836424118425,0.9081253032835499,0.2520016944874824,0.8989217498459643,5e-06
0.212821539750262,0.9135247132766947,0.2589282052537503,0.8946703635243376,5e-06
0.20719445849679932,0.9155658597077695,0.25265985293404525,0.8989217498459643,5e-06
0.203218960434065,0.9167982500057769,0.24955205947656509,0.9004004929143561,5e-06
0.19727195670102285,0.9188856110730268,0.25873146876555053,0.895871842267406,5e-06
